job_id,change_status,last_changed_at,update_count,title,company,recommendation,is_active,version_no,reason,apply_url,canonical_url,diff_json
J9367119A3E80C3,NEW,2026-09-07T19:25:36+00:00,0,"Medical Director, Clinical Informatics (Remote)",Ladders,OUT_OF_SCOPE,1,1,new,https://www.linkedin.com/jobs/view/4462800477/,https://www.linkedin.com/jobs/view/4462800477/,"{""type"": ""new""}"
J1A29CFE2B13B4C,NEW,2026-09-07T19:25:27+00:00,0,Ultrasound Applications Specialist,GE HealthCare,OUT_OF_SCOPE,1,1,new,https://www.linkedin.com/jobs/view/4463104548/,https://www.linkedin.com/jobs/view/4463104548/,"{""type"": ""new""}"
JCE16E795258CC6,NEW,2026-09-07T19:25:24+00:00,0,Associate Medical Director Imaging,Imaging Endpoints,OUT_OF_SCOPE,1,1,new,https://www.linkedin.com/jobs/view/4461978794/,https://www.linkedin.com/jobs/view/4461978794/,"{""type"": ""new""}"
J18524DDA5AE793,NEW,2026-09-07T19:24:59+00:00,0,Medical Director - Clinical Advocacy and Support - Remote - PST preferred,Ladders,OUT_OF_SCOPE,1,1,new,https://www.linkedin.com/jobs/view/4462803453/,https://www.linkedin.com/jobs/view/4462803453/,"{""type"": ""new""}"
J28865F90B9EE09,NEW,2026-09-07T19:24:56+00:00,0,Healthcare Data and Analytics Specialist - Remote - USA,FullStack,VERIFY_SOURCE,1,1,new,https://www.linkedin.com/jobs/view/4453377636/,https://www.linkedin.com/jobs/view/4453377636/,"{""type"": ""new""}"
JE7C00C6D89B78B,NEW,2026-09-07T19:24:45+00:00,0,Healthcare Policy Consultant - Indianapolis Health (Remote),Milliman,SKIP_HARD_GATE,1,1,new,https://www.linkedin.com/jobs/view/4461169868/,https://www.linkedin.com/jobs/view/4461169868/,"{""type"": ""new""}"
JC2F8A494C1110F,NEW,2026-09-07T19:24:41+00:00,0,Director of Patient Access,Lorven Technologies Inc.,OUT_OF_SCOPE,1,1,new,https://www.linkedin.com/jobs/view/4462301825/,https://www.linkedin.com/jobs/view/4462301825/,"{""type"": ""new""}"
JC3C4162799F4DE,NEW,2026-09-07T19:24:38+00:00,0,Clinical Specialist CRM - Sacramento,Medtronic,OUT_OF_SCOPE,1,1,new,https://www.linkedin.com/jobs/view/4456444258/,https://www.linkedin.com/jobs/view/4456444258/,"{""type"": ""new""}"
J4C08B705FDCA50,NEW,2026-09-07T19:24:27+00:00,0,Sr Clinical Solutions MD,CVS Health,OUT_OF_SCOPE,1,1,new,https://www.linkedin.com/jobs/view/4462896248/,https://www.linkedin.com/jobs/view/4462896248/,"{""type"": ""new""}"
JCF281AD7AD7FD0,NEW,2026-09-07T19:24:24+00:00,0,Application Analyst - Maestro Care Beaker - Level 2 - Remote,Duke University Health System,REVIEW_EMPLOYMENT,1,1,new,https://www.linkedin.com/jobs/view/4461936755/,https://www.linkedin.com/jobs/view/4461936755/,"{""type"": ""new""}"
J10661D5926208D,NEW,2026-09-07T19:24:21+00:00,0,"National Director, US Field Medical Cardiomyopathy",Jobgether,OUT_OF_SCOPE,1,1,new,https://www.linkedin.com/jobs/view/4460796187/,https://www.linkedin.com/jobs/view/4460796187/,"{""type"": ""new""}"
J8C89691B1B8CD8,NEW,2026-09-07T19:24:15+00:00,0,Lead Healthcare Integration Specialist,TimeDoc Health,REVIEW_EMPLOYMENT,1,1,new,https://www.linkedin.com/jobs/view/4446810734/,https://www.linkedin.com/jobs/view/4446810734/,"{""type"": ""new""}"
J869DFC4C89F9AF,NEW,2026-09-07T19:24:09+00:00,0,Surgical Onsite Specialist (Dallas TX),Medtronic,OUT_OF_SCOPE,1,1,new,https://www.linkedin.com/jobs/view/4460396652/,https://www.linkedin.com/jobs/view/4460396652/,"{""type"": ""new""}"
JECFB047CB8E544,NEW,2026-09-07T19:23:55+00:00,0,Epic Healthy Planet Analyst,GHR Healthcare,OUT_OF_SCOPE,1,1,new,https://www.linkedin.com/jobs/view/4461987928/,https://www.linkedin.com/jobs/view/4461987928/,"{""type"": ""new""}"
